student_id,income_level,annual_income,father_name,father_education,father_occupation,mother_name,mother_education,mother_occupation,siblings,family_size,single_parent,guardian_contact,permanent_address
1,Middle,499138,Mr. Aarav Ghosh,Higher Secondary,Retired,Mrs. Avni Ghosh,Higher Secondary,Homemaker,1,7,0,+917926633092,"480, Road, Patna"
2,Low,101752,Mr. Vivaan Hussain,Post-Graduate,Farmer,Mrs. Sara Hussain,Primary,Homemaker,3,4,0,+917927259521,"303, Lane, Ghaziabad"
3,Upper-Middle,851700,Mr. Rahul Nair,Higher Secondary,Professional,Mrs. Zara Nair,Primary,Daily Wage Worker,3,4,0,+919467188619,"268, Lane, Jaipur"
4,Middle,326406,Mr. Ishaan Ali,Graduate,Farmer,Mrs. Shruti Ali,Primary,Homemaker,1,6,0,+918764751503,"278, Lane, Hyderabad"
5,Low,62071,Mr. Ishaan Mishra,Secondary,Retired,Mrs. Divya Mishra,Higher Secondary,Small Business,3,7,0,+918561725362,"158, Lane, Coimbatore"
6,Upper-Middle,708957,Mr. Abhinav Patel,Primary,Small Business,Mrs. Prisha Patel,Primary,Farmer,1,4,0,+919350168110,"355, Road, Ludhiana"
7,Lower-Middle,171248,Mr. Ritvik Rodrigues,No Formal Education,Farmer,Mrs. Aadhya Rodrigues,No Formal Education,Small Business,0,3,0,+918218513332,"123, Street, Chennai"
8,Middle,302110,Mr. Yash Pandey,Secondary,Daily Wage Worker,Mrs. Meera Pandey,Secondary,Homemaker,2,5,0,+919489560876,"434, Lane, Ahmedabad"
9,High,2320384,Mr. Siddharth Sinha,Graduate,Daily Wage Worker,Mrs. Anvi Sinha,Secondary,Salaried Employee,3,5,0,+919786244691,"487, Lane, Delhi"
10,Upper-Middle,859594,Mr. Aarav Sinha,No Formal Education,Retired,Mrs. Ritika Sinha,Graduate,Homemaker,1,3,0,+917060768319,"107, Street, Ahmedabad"
11,Lower-Middle,227405,Mr. Aditya Gupta,Secondary,Retired,Mrs. Mira Gupta,Higher Secondary,Professional,1,6,0,+917955501400,"5, Road, Ludhiana"
12,Low,70368,Mr. Dhruv Jain,Secondary,Self-Employed,Mrs. Sneha Jain,Secondary,Homemaker,1,5,1,+918036190235,"295, Road, Patna"
13,Middle,525821,Mr. Vivaan Choudhury,Primary,Self-Employed,Mrs. Ishita Choudhury,No Formal Education,Small Business,3,5,0,+917726837161,"316, Street, Delhi"
14,Low,80143,Mr. Aditya Ghosh,Secondary,Government Employee,Mrs. Tanvi Ghosh,Post-Graduate,Homemaker,2,3,0,+919276718853,"389, Road, Ahmedabad"
15,Lower-Middle,245157,Mr. Atharv Das,Primary,Small Business,Mrs. Aditi Das,Higher Secondary,Government Employee,1,5,0,+919642268823,"300, Lane, Jaipur"
16,Low,146816,Mr. Kian Rodrigues,Primary,Government Employee,Mrs. Tanvi Rodrigues,No Formal Education,Salaried Employee,0,5,1,+918237820593,"308, Road, Kanpur"
17,Upper-Middle,857712,Mr. Aryan Mohammad,Secondary,Daily Wage Worker,Mrs. Aditi Mohammad,Secondary,Small Business,0,6,0,+919393007141,"281, Street, Bangalore"
18,Lower-Middle,252896,Mr. Kiaan Iyer,Secondary,Professional,Mrs. Sara Iyer,Higher Secondary,Homemaker,1,6,1,+919263607553,"449, Road, Ahmedabad"
19,High,2989620,Mr. Atharv Malhotra,Primary,Small Business,Mrs. Anika Malhotra,Secondary,Homemaker,1,3,0,+919349541957,"464, Road, Kanpur"
20,Middle,560329,Mr. Prakash Mukherjee,Secondary,Small Business,Mrs. Riya Mukherjee,Secondary,Salaried Employee,0,5,0,+919307242151,"227, Lane, Kanpur"
21,Middle,415741,Mr. Rahul Chatterjee,Secondary,Daily Wage Worker,Mrs. Anjali Chatterjee,Graduate,Farmer,1,5,0,+918932098635,"484, Lane, Indore"
22,Upper-Middle,828724,Mr. Kian Mehta,No Formal Education,Daily Wage Worker,Mrs. Swati Mehta,No Formal Education,Homemaker,2,5,0,+919216896351,"322, Road, Lucknow"
23,Lower-Middle,273604,Mr. Abhinav Mohammad,No Formal Education,Small Business,Mrs. Aadhya Mohammad,Secondary,Small Business,1,5,0,+919469039316,"263, Lane, Kolkata"
24,Middle,431139,Mr. Shivansh Khan,Secondary,Government Employee,Mrs. Zara Khan,Primary,Homemaker,2,4,0,+918034222242,"425, Lane, Nagpur"
25,Upper-Middle,685889,Mr. Raj Jain,Secondary,Salaried Employee,Mrs. Kriti Jain,No Formal Education,Homemaker,2,6,0,+919298732252,"140, Street, Pune"
26,Low,127606,Mr. Yash Agarwal,No Formal Education,Daily Wage Worker,Mrs. Prisha Agarwal,Secondary,Homemaker,0,6,0,+918046808222,"250, Lane, Kolkata"
27,Upper-Middle,799104,Mr. Aadhya Das,Secondary,Small Business,Mrs. Shruti Das,Secondary,Salaried Employee,2,6,0,+919793859359,"352, Street, Vadodara"
28,Low,67003,Mr. Raj Khanna,Graduate,Salaried Employee,Mrs. Saanvi Khanna,Graduate,Homemaker,0,6,0,+917787520938,"124, Road, Vadodara"
29,Low,68497,Mr. Sai Choudhury,No Formal Education,Government Employee,Mrs. Aarohi Choudhury,Primary,Homemaker,2,4,0,+919462806403,"26, Street, Ahmedabad"
30,Low,59929,Mr. Sai Arora,Graduate,Retired,Mrs. Ritika Arora,Post-Graduate,Small Business,1,6,0,+918895832382,"478, Lane, Hyderabad"
31,Upper-Middle,814799,Mr. Karthik Pillai,Primary,Professional,Mrs. Navya Pillai,Higher Secondary,Homemaker,1,6,0,+919853382692,"461, Lane, Pune"
32,Middle,353363,Mr. Reyansh D'Souza,Post-Graduate,Government Employee,Mrs. Swati D'Souza,Secondary,Homemaker,2,4,0,+917623269506,"168, Lane, Pune"
33,Low,96011,Mr. Ayaan Jain,Graduate,Salaried Employee,Mrs. Tanvi Jain,No Formal Education,Government Employee,1,3,0,+919686930146,"207, Lane, Nagpur"
34,Middle,535079,Mr. Prakash Khan,No Formal Education,Retired,Mrs. Tanvi Khan,No Formal Education,Self-Employed,3,7,0,+919279101964,"31, Street, Patna"
35,High,1893349,Mr. Nikhil Ahmed,No Formal Education,Salaried Employee,Mrs. Ishita Ahmed,Primary,Self-Employed,2,6,0,+918376058041,"102, Lane, Pune"
36,Lower-Middle,188563,Mr. Nikhil Ahmed,No Formal Education,Small Business,Mrs. Anika Ahmed,Secondary,Self-Employed,2,6,0,+918966040634,"403, Street, Coimbatore"
37,Upper-Middle,957174,Mr. Aarav Verma,Higher Secondary,Retired,Mrs. Sara Verma,Graduate,Homemaker,4,5,0,+919707818570,"387, Road, Vadodara"
38,Middle,575186,Mr. Karthik Shah,No Formal Education,Professional,Mrs. Sneha Shah,Primary,Homemaker,1,4,1,+919526986213,"487, Road, Mumbai"
39,Low,141466,Mr. Pranav Chatterjee,Post-Graduate,Farmer,Mrs. Pooja Chatterjee,Higher Secondary,Salaried Employee,1,7,0,+917028398360,"215, Lane, Pune"
40,Lower-Middle,289698,Mr. Kiaan Joshi,Secondary,Salaried Employee,Mrs. Priya Joshi,Primary,Daily Wage Worker,2,5,0,+919735498299,"22, Lane, Kolkata"
41,Middle,530883,Mr. Ayaan Chopra,No Formal Education,Farmer,Mrs. Myra Chopra,No Formal Education,Homemaker,2,5,0,+918314879835,"172, Road, Bangalore"
42,Low,109561,Mr. Prakash Sinha,No Formal Education,Daily Wage Worker,Mrs. Ananya Sinha,Higher Secondary,Homemaker,2,7,0,+919034089490,"86, Lane, Patna"
43,Lower-Middle,163742,Mr. Raj Iyer,Secondary,Farmer,Mrs. Sneha Iyer,No Formal Education,Daily Wage Worker,3,5,0,+919153324490,"138, Lane, Patna"
44,Lower-Middle,230663,Mr. Aadhya Mukherjee,Secondary,Retired,Mrs. Shanaya Mukherjee,Higher Secondary,Professional,2,7,0,+918740175605,"36, Road, Kanpur"
45,Low,146107,Mr. Ishaan Arora,Secondary,Daily Wage Worker,Mrs. Siya Arora,Higher Secondary,Homemaker,0,7,0,+918464607873,"235, Street, Chennai"
46,Low,99159,Mr. Reyansh Shah,Post-Graduate,Farmer,Mrs. Ira Shah,Higher Secondary,Salaried Employee,4,6,0,+918587654754,"221, Street, Kanpur"
47,Middle,552083,Mr. Advait Iyer,Secondary,Professional,Mrs. Avni Iyer,Secondary,Homemaker,2,7,0,+919708738723,"176, Lane, Delhi"
48,Lower-Middle,259794,Mr. Kunal Pandey,Primary,Retired,Mrs. Anika Pandey,Secondary,Homemaker,3,5,0,+918751622488,"315, Street, Hyderabad"
49,Low,72118,Mr. Arjun Khan,Graduate,Farmer,Mrs. Shruti Khan,Secondary,Homemaker,1,4,0,+918882833584,"454, Road, Ludhiana"
50,Lower-Middle,159119,Mr. Rahul Shah,Higher Secondary,Government Employee,Mrs. Diya Shah,Higher Secondary,Homemaker,2,4,0,+918211323861,"226, Lane, Ahmedabad"
51,Middle,349546,Mr. Naksh Joshi,Graduate,Salaried Employee,Mrs. Priya Joshi,Graduate,Small Business,3,3,0,+919889725950,"3, Lane, Bangalore"
52,Low,137252,Mr. Kiaan Sharma,Secondary,Salaried Employee,Mrs. Neha Sharma,Primary,Retired,1,5,0,+918319180051,"416, Road, Lucknow"
53,Low,83420,Mr. Daksh Sinha,Secondary,Self-Employed,Mrs. Aarohi Sinha,Primary,Homemaker,2,7,0,+917326200141,"249, Road, Bangalore"
54,Lower-Middle,170175,Mr. Aadhya Fernandes,Graduate,Small Business,Mrs. Avni Fernandes,Higher Secondary,Professional,3,3,0,+918434522562,"285, Lane, Kanpur"
55,Low,120044,Mr. Samar Hussain,Post-Graduate,Salaried Employee,Mrs. Riya Hussain,No Formal Education,Professional,2,3,0,+918391258588,"100, Road, Indore"
56,Lower-Middle,207285,Mr. Vihaan Bhatia,Secondary,Retired,Mrs. Simran Bhatia,No Formal Education,Professional,3,4,0,+917286489515,"265, Lane, Hyderabad"
57,Lower-Middle,193271,Mr. Varun Mehta,No Formal Education,Government Employee,Mrs. Nisha Mehta,No Formal Education,Homemaker,0,5,1,+918098130875,"269, Street, Pune"
58,Lower-Middle,252755,Mr. Manish Reddy,Post-Graduate,Salaried Employee,Mrs. Sara Reddy,No Formal Education,Self-Employed,3,4,0,+918596822701,"241, Lane, Bangalore"
59,Middle,473046,Mr. Rahul Choudhury,Secondary,Farmer,Mrs. Ananya Choudhury,No Formal Education,Homemaker,3,7,0,+917641680182,"154, Street, Hyderabad"
60,Low,102845,Mr. Rudra Nair,Secondary,Self-Employed,Mrs. Myra Nair,Higher Secondary,Homemaker,1,3,0,+919502059324,"82, Street, Coimbatore"
61,Middle,575992,Mr. Manish Mukherjee,Graduate,Retired,Mrs. Swati Mukherjee,No Formal Education,Daily Wage Worker,4,5,0,+917909535638,"350, Road, Pune"
62,Lower-Middle,221141,Mr. Kunal Khanna,Graduate,Government Employee,Mrs. Zara Khanna,Graduate,Small Business,0,7,0,+917562993246,"221, Road, Pune"
63,Low,87631,Mr. Krishna Sethi,Secondary,Small Business,Mrs. Aadhya Sethi,Graduate,Homemaker,1,7,0,+918766771741,"462, Road, Delhi"
64,Lower-Middle,257113,Mr. Varun Sinha,Primary,Professional,Mrs. Ananya Sinha,Secondary,Self-Employed,2,5,0,+919039231127,"49, Street, Ludhiana"
