student_id,roll_number,first_name,last_name,full_name,gender,age,date_of_birth,email,phone,city,location_type,branch,year,semester,admission_date,status,income_level,annual_income,father_name,father_education,father_occupation,mother_name,mother_education,mother_occupation,siblings,family_size,single_parent,guardian_contact,permanent_address,current_semester_gpa,previous_semester_gpa,cumulative_gpa,gpa_trend,credits_registered_current,credits_completed_current,total_credits_registered,total_credits_completed,credit_completion_rate,first_year_gpa,first_year_credits_completed,first_year_attendance_percent,first_year_dropout_risk,registration_date,registration_delay_days,registration_status,courses_withdrawn_ever,courses_withdrawn_current,total_course_withdrawals,semester_number,courses_failed_ever,courses_repeated,academic_standing,probation_status,status_attendance_total_days,status_attendance_present_days,status_attendance_absent_days,attendance_percentage,attendance_first_half,attendance_second_half,attendance_trend,marks_percentage_mean,marks_percentage_std,marks_percentage_min,marks_percentage_max,marks_obtained_marks_sum,marks_subject_chemistry,marks_subject_computer_science,marks_subject_electronics,marks_subject_mathematics,marks_subject_mechanical_engineering,marks_subject_physics,marks_failing_count,assignment_submission_rate,assignment_late_count,assignment_grade_A,assignment_grade_B,assignment_grade_C,assignment_grade_D,behavior_negative_count,behavior_positive_count,behavior_total_count,library_visits,library_hours,fee_total_paid,fee_pending_count,fee_late_count,total_activities,extra_participates,extra_category_Academic,extra_category_Cultural,extra_category_Other,extra_category_Social,extra_category_Sports,extra_category_Technical,extra_leadership_roles,extra_hours_per_week,extra_total_events,attendance_status_extra_sessions_total,attendance_status_extra_sessions_present,extra_attendance_percentage,dropout_risk_score,dropout_risk
1,CS240001,Ayaan,Ghosh,Ayaan Ghosh,Male,23,2002-01-07,ayaan.ghosh718@student.college.edu,917528660286,Patna,Semi-Urban,CS,3,2,2025-08-01,Active,Middle,499138,Mr. Aarav Ghosh,Higher Secondary,Retired,Mrs. Avni Ghosh,Higher Secondary,Homemaker,1,7,0,917926633092,"480, Road, Patna",6.64,6.91,6.8,Stable,24,19,144,117,81.25,6.81,36,79.74,Low,2025-08-16,20,Very Late,0,0,0,6,0,0,Average,No,40,31,9,77.5,85.0,70.0,-15.0,36.49138888888889,11.601843733470686,9.44,68.54,216.25,34.961666666666666,32.94,40.11666666666667,38.885,32.13,39.915,24.0,75.0,1,1,4,1,0,1.0,1.0,2.0,13.0,10.0,70000,2,1.0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,15.0,72.0,59.0,81.94444444444444,25,Low Risk
2,CS230002,Riya,Hussain,Riya Hussain,Female,20,2005-01-06,riya.hussain56@student.college.edu,918573885567,Ghaziabad,Rural,CS,4,1,2025-08-01,Active,Low,101752,Mr. Vivaan Hussain,Post-Graduate,Farmer,Mrs. Sara Hussain,Primary,Homemaker,3,4,0,917927259521,"303, Lane, Ghaziabad",5.07,5.22,5.16,Stable,20,16,140,114,81.43,4.79,36,67.78,Low,2025-07-27,0,On Time,1,1,2,7,0,0,Below Average,No,40,21,19,52.5,45.0,60.0,15.0,76.74083333333334,17.10721725304432,47.28,100.0,455.21,82.20666666666666,73.095,76.335,66.68166666666667,81.90333333333332,80.22333333333334,0.0,87.5,5,2,4,0,1,1.0,1.0,2.0,6.0,3.0,85000,1,1.0,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.5,16.0,72.0,63.0,87.5,50,Medium Risk
3,EC230003,Swati,Nair,Swati Nair,Female,18,2007-01-06,swati.nair76@student.college.edu,917084844616,Jaipur,Urban,EC,1,2,2025-08-01,Active,Upper-Middle,851700,Mr. Rahul Nair,Higher Secondary,Professional,Mrs. Zara Nair,Primary,Daily Wage Worker,3,4,0,919467188619,"268, Lane, Jaipur",5.72,5.72,5.72,Stable,22,15,44,31,70.45,5.72,15,91.16,Medium,2025-07-27,0,On Time,0,0,0,2,0,0,Average,No,40,23,17,57.49999999999999,45.0,70.0,25.0,82.50583333333333,16.02672239462223,49.26,100.0,492.2,82.13333333333334,87.23666666666666,74.675,86.87833333333333,82.47333333333333,81.63833333333334,0.0,50.0,1,1,2,0,1,1.0,1.0,2.0,13.0,10.0,100000,0,0.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,24.0,23.0,95.83333333333334,45,Medium Risk
4,EC240004,Pranav,Ali,Pranav Ali,Male,18,2007-01-06,pranav.ali220@student.college.edu,919518625493,Hyderabad,Urban,EC,4,1,2025-08-01,Active,Middle,326406,Mr. Ishaan Ali,Graduate,Farmer,Mrs. Shruti Ali,Primary,Homemaker,1,6,0,918764751503,"278, Lane, Hyderabad",4.58,5.96,5.41,Declining,20,16,140,117,83.57,4.43,42,84.43,Low,2025-07-27,0,On Time,2,0,2,7,0,0,Below Average,No,40,29,11,72.5,65.0,80.0,15.0,54.94388888888889,17.34629713928723,26.08,97.37,325.42,65.36,54.001666666666665,51.653333333333336,53.281666666666666,58.550000000000004,46.81666666666666,6.0,100.0,3,4,3,1,0,1.0,1.0,2.0,13.0,10.0,65000,1,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,16.0,7.0,43.75,40,Medium Risk
5,EC240005,Rudra,Mishra,Rudra Mishra,Male,19,2006-01-06,rudra.mishra461@student.college.edu,919307232781,Coimbatore,Rural,EC,3,2,2025-08-01,Active,Low,62071,Mr. Ishaan Mishra,Secondary,Retired,Mrs. Divya Mishra,Higher Secondary,Small Business,3,7,0,918561725362,"158, Lane, Coimbatore",6.0,6.59,6.35,Declining,24,20,144,121,84.03,5.7,44,85.42,Low,2025-07-27,0,On Time,0,0,0,6,0,0,Average,No,40,28,12,70.0,75.0,65.0,-10.0,78.87027777777777,15.246665487642325,43.87,100.0,474.59000000000003,85.70166666666667,78.48166666666667,80.535,77.175,81.50666666666667,69.82166666666667,0.0,75.0,2,4,1,1,0,1.0,1.0,2.0,5.0,3.0,100000,0,2.0,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,16.0,11.0,68.75,25,Low Risk
6,CS230006,Abhinav,Patel,Abhinav Patel,Male,18,2007-01-06,abhinav.patel422@student.college.edu,918676223480,Ludhiana,Urban,CS,4,1,2025-08-01,Active,Upper-Middle,708957,Mr. Abhinav Patel,Primary,Small Business,Mrs. Prisha Patel,Primary,Farmer,1,4,0,919350168110,"355, Road, Ludhiana",4.9,5.59,5.31,Declining,24,18,168,127,75.6,4.78,42,82.31,Low,2025-07-30,3,Late,0,0,0,7,1,1,Below Average,No,40,33,7,82.5,75.0,90.0,15.0,75.74055555555555,17.17897501423419,45.99,100.0,441.77,85.40500000000002,70.04666666666667,80.84166666666667,67.66333333333334,83.53166666666667,66.955,0.0,62.5,1,0,1,3,1,1.0,1.0,2.0,6.0,8.0,100000,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,Low Risk
7,EE230007,Ira,Rodrigues,Ira Rodrigues,Female,22,2003-01-07,ira.rodrigues11@student.college.edu,919308702148,Chennai,Semi-Urban,EE,4,1,2025-08-01,Active,Lower-Middle,171248,Mr. Ritvik Rodrigues,No Formal Education,Farmer,Mrs. Aadhya Rodrigues,No Formal Education,Small Business,0,3,0,918218513332,"123, Street, Chennai",5.16,6.46,5.94,Declining,18,15,126,105,83.33,5.23,42,71.77,Low,2025-07-27,0,On Time,0,0,0,7,1,0,Average,No,40,30,10,75.0,70.0,80.0,10.0,32.56805555555556,15.381954885875563,4.79,61.53,205.45,27.169999999999998,36.11166666666667,37.931666666666665,24.026666666666667,29.123333333333335,41.045,25.0,75.0,1,2,2,1,1,1.0,1.0,2.0,13.0,10.0,65000,1,1.0,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.333333333333333,9.0,72.0,48.0,66.66666666666666,25,Low Risk
8,EC240008,Shaurya,Pandey,Shaurya Pandey,Male,21,2004-01-07,shaurya.pandey373@student.college.edu,918449254965,Ahmedabad,Urban,EC,4,1,2025-08-01,Active,Middle,302110,Mr. Yash Pandey,Secondary,Daily Wage Worker,Mrs. Meera Pandey,Secondary,Homemaker,2,5,0,919489560876,"434, Lane, Ahmedabad",5.87,5.71,5.77,Stable,24,20,168,141,83.93,5.18,38,92.45,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Average,No,40,30,10,75.0,70.0,80.0,10.0,42.27583333333334,12.826783223284897,18.6,66.99,259.64,40.82833333333333,37.47833333333333,46.70166666666666,31.786666666666665,47.675000000000004,49.185,20.0,62.5,1,0,4,1,0,1.0,2.0,3.0,11.0,13.0,85000,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,Low Risk
9,CS210009,Nisha,Sinha,Nisha Sinha,Female,21,2004-01-07,nisha.sinha71@student.college.edu,918075147622,Delhi,Urban,CS,2,2,2025-08-01,Active,High,2320384,Mr. Siddharth Sinha,Graduate,Daily Wage Worker,Mrs. Anvi Sinha,Secondary,Salaried Employee,3,5,0,919786244691,"487, Lane, Delhi",6.85,8.18,7.65,Declining,18,16,72,64,88.89,7.17,42,84.18,Low,2025-07-30,3,Late,0,0,0,4,0,0,Good,No,40,30,10,75.0,70.0,80.0,10.0,44.7375,14.281743866109029,17.06,78.07,270.45,37.45666666666667,39.605,48.77166666666667,38.54833333333333,53.74166666666667,50.30166666666667,12.0,87.5,3,3,4,0,0,1.0,1.0,2.0,18.0,21.0,100000,0,1.0,0,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,27.0,56.0,46.0,82.14285714285714,10,Low Risk
10,CS230010,Aanya,Sinha,Aanya Sinha,Female,18,2007-01-06,aanya.sinha528@student.college.edu,918188199521,Ahmedabad,Urban,CS,1,1,2025-08-01,Active,Upper-Middle,859594,Mr. Aarav Sinha,No Formal Education,Retired,Mrs. Ritika Sinha,Graduate,Homemaker,1,3,0,917060768319,"107, Street, Ahmedabad",6.98,6.505,6.98,Stable,20,17,20,17,85.0,6.98,17,80.88,Medium,2025-07-27,0,On Time,0,0,0,1,0,0,Average,No,40,27,13,67.5,75.0,60.0,-15.0,42.71805555555555,16.137686118337047,6.48,72.14,258.29,34.345,41.449999999999996,53.68166666666667,33.97,38.87166666666667,53.99,17.0,50.0,2,0,2,0,2,1.0,1.0,2.0,17.0,12.0,100000,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,8.0,50.0,40,Medium Risk
